match_date,home_team,away_team,predicted_home_win_prob,predicted_draw_prob,predicted_away_win_prob,predicted_outcome,predicted_home_goals,predicted_away_goals,actual_outcome,actual_home_goals,actual_away_goals,odds_matched,odds_source,bookmaker_odds_used,payout,profit,cumulative_profit,home_win_implied_prob,draw_implied_prob,away_win_implied_prob,home_win_edge,draw_edge,away_win_edge,best_edge,bet_recommendation
2018-06-18,Tunisia,England,0.2654371755993897,0.3296024240584376,0.40496040530922683,0,1,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,-0.23456282440061033,-0.1703975759415624,-0.09503959469077317,-0.09503959469077317,Avoid
2018-06-19,Colombia,Japan,0.7149505098968008,0.18410205622927706,0.10094741400570756,2,1,0,0,1.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,0.21495050989680076,-0.31589794377072294,-0.39905258599429244,0.21495050989680076,Value
2018-06-19,Poland,Senegal,0.5775003818217516,0.24129644252372118,0.18120318062158072,2,1,0,0,1.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-2.0,0.5,0.5,0.5,0.07750038182175156,-0.2587035574762788,-0.3187968193784193,0.07750038182175156,Value
2018-06-19,Russia,Egypt,0.38921294329419376,0.26128057180243375,0.34950649483748,2,1,1,2,3.0,1.0,False,stub_2.0,2.0,2.0,1.0,-1.0,0.5,0.5,0.5,-0.11078705670580624,-0.23871942819756625,-0.15049350516252002,-0.11078705670580624,Avoid
2018-06-20,Portugal,Morocco,0.6194466567722497,0.2361770103600981,0.1443763378347059,2,1,1,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.11944665677224975,-0.2638229896399019,-0.35562366216529406,0.11944665677224975,Value
2018-06-20,Uruguay,Saudi Arabia,0.7012644746472602,0.19485356314406335,0.10388195475809577,2,2,0,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.20126447464726016,-0.3051464368559367,-0.39611804524190425,0.20126447464726016,Value
2018-06-20,Iran,Spain,0.22619661444914063,0.2478377701265028,0.5259656253584637,0,0,1,0,0.0,1.0,False,stub_2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,-0.27380338555085937,-0.25216222987349723,0.025965625358463695,0.025965625358463695,Neutral
2018-06-21,France,Peru,0.44848636345389997,0.3085345336399623,0.2429791078731913,2,1,1,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,-0.05151363654610003,-0.1914654663600377,-0.2570208921268087,-0.05151363654610003,Avoid
2018-06-21,Argentina,Croatia,0.5000636348898821,0.2809833483872349,0.21895302665699018,2,1,1,0,0.0,3.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,6.363488988214705e-05,-0.21901665161276512,-0.2810469733430098,6.363488988214705e-05,Neutral
2018-06-21,Denmark,Australia,0.5917940242128613,0.2675086402466248,0.14069733057345982,2,1,0,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,1.0,0.5,0.5,0.5,0.09179402421286131,-0.2324913597533752,-0.3593026694265402,0.09179402421286131,Value
2018-06-22,Serbia,Switzerland,0.21098754480228005,0.2837544920906516,0.5052579482059072,0,0,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,-0.28901245519771995,-0.21624550790934838,0.0052579482059071925,0.0052579482059071925,Neutral
2018-06-22,Brazil,Costa Rica,0.7242513172445735,0.17934683041411859,0.09640185979188833,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,0.22425131724457348,-0.3206531695858814,-0.4035981402081117,0.22425131724457348,Value
2018-06-22,Nigeria,Iceland,0.26415438133320135,0.23356679882127798,0.5022788148784669,0,1,1,2,2.0,0.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,-0.23584561866679865,-0.26643320117872205,0.002278814878466928,0.002278814878466928,Neutral
2018-06-23,Belgium,Tunisia,0.6344650607352477,0.224853821562537,0.14068110776810772,2,1,0,2,5.0,2.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,0.13446506073524767,-0.27514617843746303,-0.3593188922318923,0.13446506073524767,Value
2018-06-23,South Korea,Mexico,0.18896138754665456,0.3188448121529067,0.4921937804322239,0,0,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,4.0,0.5,0.5,0.5,-0.3110386124533454,-0.18115518784709328,-0.007806219567776107,-0.007806219567776107,Neutral
2018-06-23,Germany,Sweden,0.6145183423757657,0.23727888049738607,0.14820278209390184,2,1,0,2,2.0,1.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,0.11451834237576575,-0.2627211195026139,-0.3517972179060982,0.11451834237576575,Value
2018-06-24,England,Panama,0.7024454474775748,0.1902665356994534,0.10728801682297166,2,1,0,2,6.0,1.0,False,stub_2.0,2.0,2.0,1.0,6.0,0.5,0.5,0.5,0.20244544747757476,-0.3097334643005466,-0.3927119831770283,0.20244544747757476,Value
2018-06-24,Japan,Senegal,0.16913857004590527,0.2754762727685287,0.5553851522185123,0,0,1,1,2.0,2.0,False,stub_2.0,2.0,0.0,-1.0,5.0,0.5,0.5,0.5,-0.33086142995409473,-0.2245237272314713,0.05538515221851226,0.05538515221851226,Value
2018-06-24,Poland,Colombia,0.4446056932593481,0.29319301352421306,0.2622012932164387,2,1,1,0,0.0,3.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.05539430674065188,-0.20680698647578694,-0.2377987067835613,-0.05539430674065188,Avoid
2018-06-25,Russia,Uruguay,0.2143930870841278,0.2631641682000695,0.5224427248475876,0,0,1,0,0.0,3.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,-0.2856069129158722,-0.2368358317999305,0.02244272484758758,0.02244272484758758,Neutral
2018-06-25,Saudi Arabia,Egypt,0.31642785412275054,0.2442903226931564,0.4392818033158782,0,1,1,2,2.0,1.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.18357214587724946,-0.2557096773068436,-0.06071819668412182,-0.06071819668412182,Avoid
2018-06-25,Spain,Morocco,0.6579670206623904,0.2048395356898874,0.1371934287465608,2,1,0,1,2.0,2.0,False,stub_2.0,2.0,0.0,-1.0,3.0,0.5,0.5,0.5,0.15796702066239043,-0.2951604643101126,-0.3628065712534392,0.15796702066239043,Value
2018-06-25,Iran,Portugal,0.18184946522025217,0.23646496491149344,0.5816855599341468,0,0,1,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,-0.31815053477974786,-0.26353503508850656,0.08168555993414683,0.08168555993414683,Value
2018-06-26,Australia,Peru,0.2384119470393476,0.30738802641905216,0.45420003150865385,0,0,1,0,0.0,2.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,-0.2615880529606524,-0.19261197358094784,-0.045799968491346155,-0.045799968491346155,Neutral
2018-06-26,Denmark,France,0.28142704812692804,0.3303678564420612,0.3882051053651183,0,1,1,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,-0.21857295187307196,-0.16963214355793882,-0.11179489463488168,-0.11179489463488168,Avoid
2018-06-26,Nigeria,Argentina,0.23049009468370257,0.24711081147331254,0.5223990938429848,0,1,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,-0.2695099053162974,-0.25288918852668746,0.022399093842984774,0.022399093842984774,Neutral
2018-06-26,Iceland,Croatia,0.2802112642409091,0.29981817802277655,0.4199705776045291,0,1,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,4.0,0.5,0.5,0.5,-0.21978873575909091,-0.20018182197722345,-0.0800294223954709,-0.0800294223954709,Avoid
2018-06-27,South Korea,Germany,0.147212566327309,0.20681592118056916,0.6459715124921215,0,0,2,2,2.0,0.0,False,stub_2.0,2.0,0.0,-1.0,3.0,0.5,0.5,0.5,-0.352787433672691,-0.29318407881943087,0.14597151249212148,0.14597151249212148,Value
2018-06-27,Mexico,Sweden,0.4606509764094794,0.3248322198205367,0.21451681370409142,2,1,0,0,0.0,3.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,-0.039349023590520615,-0.17516778017946327,-0.2854831862959086,-0.039349023590520615,Neutral
